time_utc,record_id,status,lat,lon,wind_kt,pressure_mb,r34_ne_nmi,r34_se_nmi,r34_sw_nmi,r34_nw_nmi,r50_ne_nmi,r50_se_nmi,r50_sw_nmi,r50_nw_nmi,r64_ne_nmi,r64_se_nmi,r64_sw_nmi,r64_nw_nmi,rmw_nmi
2022-09-22T18:00:00Z,,LO,12.3,-66.3,30,1006,0,0,0,0,0,0,0,0,0,0,0,0,70
2022-09-23T00:00:00Z,,LO,12.9,-67.2,30,1006,0,0,0,0,0,0,0,0,0,0,0,0,70
2022-09-23T06:00:00Z,,TD,13.7,-68.1,30,1006,0,0,0,0,0,0,0,0,0,0,0,0,60
2022-09-23T12:00:00Z,,TD,14.2,-69.3,30,1006,0,0,0,0,0,0,0,0,0,0,0,0,60
2022-09-23T18:00:00Z,,TD,14.6,-70.6,30,1006,0,0,0,0,0,0,0,0,0,0,0,0,60
2022-09-24T00:00:00Z,,TS,14.7,-71.7,35,1005,0,0,0,30,0,0,0,0,0,0,0,0,30
2022-09-24T06:00:00Z,,TS,14.7,-72.9,35,1005,0,0,0,30,0,0,0,0,0,0,0,0,30
2022-09-24T12:00:00Z,,TS,14.5,-74.4,40,1003,0,0,0,50,0,0,0,0,0,0,0,0,30
2022-09-24T18:00:00Z,,TS,14.4,-75.8,40,1003,0,0,0,50,0,0,0,0,0,0,0,0,30
2022-09-25T00:00:00Z,,TS,14.6,-77.2,40,1003,40,0,0,50,0,0,0,0,0,0,0,0,30
2022-09-25T06:00:00Z,,TS,14.6,-78.3,40,1003,40,0,0,50,0,0,0,0,0,0,0,0,30
2022-09-25T12:00:00Z,,TS,15.0,-79.4,40,1003,40,0,0,50,0,0,0,0,0,0,0,0,30
2022-09-25T18:00:00Z,,TS,15.8,-80.1,40,1003,40,0,0,50,0,0,0,0,0,0,0,0,30
2022-09-26T00:00:00Z,,TS,16.8,-80.9,50,991,60,60,0,30,30,0,0,0,0,0,0,0,30
2022-09-26T06:00:00Z,,HU,17.7,-81.7,65,985,70,70,30,70,30,30,0,20,15,0,0,0,15
2022-09-26T12:00:00Z,,HU,18.7,-82.4,70,981,90,80,40,90,40,40,0,30,20,0,0,0,15
2022-09-26T18:00:00Z,,HU,19.7,-83.0,80,976,100,90,60,90,50,50,20,30,30,25,0,20,20
2022-09-27T00:00:00Z,,HU,20.8,-83.3,85,965,100,90,60,90,50,50,20,30,30,25,0,20,20
2022-09-27T06:00:00Z,,HU,21.8,-83.6,100,956,100,100,70,90,50,50,30,40,30,25,20,20,15
2022-09-27T08:30:00Z,L,HU,22.2,-83.7,110,947,100,100,70,90,50,50,30,40,30,25,20,20,15
2022-09-27T12:00:00Z,,HU,22.6,-83.6,100,963,120,120,100,120,60,60,50,60,30,25,20,20,15
2022-09-27T18:00:00Z,,HU,23.5,-83.3,105,951,120,120,100,120,60,60,50,60,35,35,20,20,15
2022-09-28T00:00:00Z,,HU,24.4,-83.0,105,947,120,120,100,120,60,60,50,60,35,35,20,20,20
2022-09-28T02:00:00Z,L,HU,24.6,-82.9,110,952,120,120,100,120,60,60,50,60,35,35,20,20,20
2022-09-28T06:00:00Z,,HU,25.2,-82.9,120,945,120,130,100,150,70,60,60,70,35,35,30,35,20
2022-09-28T12:00:00Z,,HU,26.0,-82.7,140,937,120,140,100,150,70,60,70,80,40,40,30,40,20
2022-09-28T18:00:00Z,,HU,26.6,-82.4,135,938,130,150,100,150,50,60,70,80,30,40,30,45,20
2022-09-28T19:05:00Z,L,HU,26.7,-82.2,130,941,130,150,100,150,50,60,70,80,30,40,30,45,20
2022-09-28T20:35:00Z,L,HU,26.8,-82.0,125,945,130,150,100,150,50,60,70,80,30,40,30,45,20
2022-09-29T00:00:00Z,,HU,27.2,-81.7,100,960,180,120,120,220,50,60,50,70,30,40,30,45,20
2022-09-29T06:00:00Z,,HU,27.7,-81.1,65,985,360,120,150,200,60,50,40,70,30,0,0,30,20
2022-09-29T12:00:00Z,,TS,28.4,-80.6,60,987,360,120,150,200,60,50,40,70,0,0,0,0,40
2022-09-29T18:00:00Z,,HU,28.9,-80.1,65,986,360,140,150,200,60,0,50,100,0,0,0,40,40
2022-09-30T00:00:00Z,,HU,29.6,-79.4,70,986,420,150,120,220,60,80,80,120,0,0,40,60,40
2022-09-30T06:00:00Z,,HU,30.3,-79.1,75,984,420,130,100,160,80,60,80,120,0,0,40,60,40
2022-09-30T12:00:00Z,,HU,31.5,-79.0,75,980,240,130,120,140,80,60,80,80,40,0,40,60,40
2022-09-30T18:00:00Z,,HU,33.3,-79.2,70,978,190,130,100,60,80,60,80,40,0,30,40,0,40
2022-09-30T18:05:00Z,L,HU,33.3,-79.2,70,978,190,130,100,60,80,60,80,40,0,30,40,0,40
2022-10-01T00:00:00Z,,EX,34.4,-79.3,50,990,160,170,0,0,0,90,0,0,0,0,0,0,80
2022-10-01T06:00:00Z,,EX,35.3,-79.7,30,999,0,0,0,0,0,0,0,0,0,0,0,0,180
